Happy Days,"Production Music Library, Vol. 1",Tracksonix,26,True,0.575,0.397,0,-14.698,1,0.0336,0.846,0.91,0.135,0.744,124.839,35907,4.0,2015-04-21
Black Point Road,Walk,Red Rooster,2,True,0.542,0.592,9,-8.014,1,0.0458,0.709,0.0046,0.111,0.304,172.145,255720,4.0,2009-09-22
Hark! The Herald Angels Sing,Merry Christmas from My Heart,"Felix Mendelssohn, Agne G",2,True,0.37,0.183,5,-9.893,1,0.0426,0.959,0.0,0.138,0.305,104.778,166587,4.0,2018-11-16
Portions,S.T.D,cupcakKe,7,True,0.873,0.281,6,-20.635,0,0.345,0.0507,0.0,0.11,0.334,100.006,167712,4.0,2016-06-19
Liars Plea,Nexus,xiescive,10,True,0.373,0.504,0,-9.194,0,0.0349,0.0413,0.179,0.123,0.0349,109.909,241699,4.0,2011-10-31
Le début et la fin,Paroles et musique,Alain Barrière,4,True,0.426,0.503,5,-9.132,1,0.0364,0.835,0.142,0.281,0.359,130.263,296013,4.0,2019-12-06
Uber,Global,Maniac Flame,5,True,0.715,0.569,0,-9.434,0,0.0968,0.15,0.0,0.145,0.595,98.044,131053,4.0,2019-08-09
"On the Dnieper Suite, Op. 51bis: III. The Betrothal",Prokofiev: Cinderella Suites / Scythian Suite,"Sergei Prokofiev, Ukrainian State Symphony Orchestra",15,True,0.133,0.0956,10,-22.673,0,0.0364,0.947,0.884,0.0828,0.0406,85.179,420000,3.0,1994-09-21
Gluttony,Seven Deadly Sins,Oracle,6,True,0.188,0.969,4,-4.473,1,0.0803,0.0,0.67,0.352,0.333,199.874,307520,4.0,2018-09-26
Praise God (Hallelujah!),Conversion,Kevin Thornton,1,True,0.725,0.837,11,-9.699,0,0.0652,0.0571,0.0,0.0569,0.858,151.991,289693,4.0,2005-01-01
O' Magnum Mysterium,Purity,Soil & Eclipse,1,True,0.637,0.781,1,-10.967,1,0.0336,0.231,0.0016,0.145,0.415,95.01,251160,4.0,2002-02-08
Born in 97,Last of a Dying Breed,$avage,9,True,0.779,0.589,1,-8.22,1,0.411,0.28,0.0,0.0929,0.645,143.969,163360,4.0,2020-09-25
Joia do Atlântico,Vai Levantar Poeira (Deluxe),Penalva,11,True,0.763,0.423,2,-12.652,1,0.032,0.244,0.0002,0.0626,0.668,113.089,191253,4.0,2000-11-20
I'm A G Boy,C.A.S.H.,"Cassidy, AR-RB",11,True,0.755,0.821,7,-6.434,1,0.315,0.0737,0.0,0.0565,0.393,160.038,384387,4.0,2010-11-16
Mice Hole - Reece Low Remix,Straight Up Electro House! Vol. 9,"Reece Low, Reecey Boi",20,True,0.772,0.885,0,-5.198,1,0.122,0.0002,0.0248,0.189,0.122,128.008,322516,4.0,2013-01-21
Country Boy/Boogie Board,Hillbilly Psychosis,Rock N Roll Adventure Kids,7,True,0.121,0.846,2,-15.244,1,0.067,0.0272,0.0,0.858,0.0794,154.771,194267,4.0,2009-04-02
"Magnificat Septi Toni, 8 Fugues on the 7th Tone in C Minor: Fugue VII-2","Pachelbel, J.: Organ Music (Complete), Vol. 7","Johann Pachelbel, Antoine Bouchard",12,True,0.137,0.0299,7,-20.485,0,0.0438,0.98,0.869,0.0655,0.195,144.773,122400,4.0,1999-01-01
"Souvenir de Florence, Op. 70: III. Allegretto moderato",Tchaikovsky: String Quartet No. 2 in F Major / Souvenir De Florence,"Pyotr Ilyich Tchaikovsky, Rami Solomonow",7,True,0.474,0.121,9,-20.517,0,0.0411,0.894,0.727,0.0798,0.2,78.27,413373,4.0,2000-01-01
A God in Wrath,"Black Riders, Pt. 1",Heartscore,10,True,0.344,0.346,8,-14.872,1,0.0615,0.0749,0.0192,0.185,0.102,131.619,299398,4.0,2018-12-01
Hannah,"The Legendary J.E. Mainer, Volume 3","J.E. Mainer, The Bluegrass Cut Ups",3,True,0.71,0.241,9,-21.911,0,0.566,0.901,0.0,0.172,0.373,127.146,117480,5.0,2014-01-21
Get Closer,West Coast Music,Seals and Crofts,27,True,0.653,0.437,2,-12.641,1,0.028,0.434,0.0001,0.0689,0.63,96.469,238147,4.0,2018-09-14
Cumbias Pa Bailar: Llorarás,Zacapeando Ritmos Latinos,Grupo FM de Zacapa de Guatemala,8,True,0.784,0.783,4,-6.745,0,0.0552,0.0039,0.0,0.0887,0.598,105.983,33907,4.0,2010-01-20
Old Blue Was a Good Car,"Deep in the Pocket, Still No Change",The Benton Roark Band,8,True,0.592,0.913,4,-3.753,1,0.122,0.294,0.0,0.0609,0.442,110.771,242067,4.0,2016-12-01
Happy For Sam,The Smith Kid Rides Again,Leon Smith,9,True,0.603,0.487,4,-17.154,1,0.0632,0.587,0.928,0.148,0.279,102.717,107120,4.0,2004-01-01
"Cello Sonata No. 4 in C Major, Op. 102, No. 1: ii. Adagio. Tempo d'andante; Allegro con brio",Big Beethoven Box,"Ludwig van Beethoven, Antonio Janigro",28,True,0.236,0.124,0,-22.656,1,0.0404,0.983,0.729,0.109,0.114,166.52,429173,4.0,2012-12-18
Doodletown Fifers,Encore!,"Traditional, Keith Lockhart",7,True,0.474,0.553,0,-16.12,1,0.0463,0.237,0.411,0.316,0.385,112.656,284440,4.0,2000-03-07
You Love to Sing (Slow Version),In Motion,Copeland,13,True,0.293,0.508,0,-5.975,1,0.0307,0.618,0.0,0.12,0.218,77.07,164813,4.0,2005-03-22
Dakota,New Moodio,Eleventh Dream Day,6,True,0.291,0.914,7,-7.197,1,0.0766,0.0046,0.817,0.765,0.361,151.874,157307,4.0,2013-05-14
Wonderful World - Remixed By Pure-X,Xscrewciating,Slick Idiot,11,True,0.645,0.94,10,-6.49,0,0.0616,0.0211,0.0017,0.146,0.841,130.026,247493,4.0,2007-07-10
Run Romeo Run,The Great Western,James Dean Bradfield,5,True,0.584,0.934,9,-6.361,1,0.0653,0.0543,0.0,0.0709,0.451,140.901,204160,4.0,2006-07-22
Sarabande,Celebration Of Love,Alan Roubik,26,True,0.496,0.0948,2,-19.38,0,0.0722,0.993,0.939,0.108,0.228,109.609,66533,3.0,2008-10-20
Thief In The Night,"Starlit Hour, The",Rebecca Kilgore and Dave Frishberg,17,True,0.57,0.271,7,-14.208,0,0.222,0.987,0.009,0.705,0.401,97.597,183733,4.0,2001-10-02
Drunt' in der Lobau,"Salon Orchestra Favourites, Vol. 1","Heinrich Strecker, Schwanen Salon Orchestra",1,True,0.273,0.208,0,-13.07,1,0.0379,0.957,0.0506,0.166,0.179,119.823,240467,4.0,2000-05-06
Harmonica Boat,Rails,The Frederico Brothers,3,True,0.714,0.539,7,-4.925,1,0.0484,0.696,0.0,0.0691,0.915,105.072,233200,4.0,2004-01-01
Sea of Lies,Parallel Universe,SiXforNinE,8,True,0.361,0.987,5,-3.007,0,0.179,0.0,0.0,0.386,0.324,86.021,250309,4.0,2019-08-02
Green,Green,Joli,1,True,0.681,0.456,9,-12.897,1,0.307,0.656,0.0,0.119,0.226,140.04,150857,4.0,2020-09-25
"String Quartet No. 7 in A Major, Op. 2 No. 1, Hob.III:7","50 Big Band Hits of the Thirties, Forties & Fifties","Franz Joseph Haydn, Dekany Quartet",14,True,0.431,0.0666,4,-19.341,1,0.0441,0.958,0.0133,0.0962,0.708,114.1,161520,4.0,2015-09-25
"Glasses Of Wine - Antioch, California",Whisky Supper,Wicked Tinkers,6,True,0.725,0.289,1,-19.595,1,0.945,0.914,0.0,0.636,0.839,118.676,50093,5.0,2005-08-19
Hush-A-Bye Dragon,A Gothling's Gathering of Gabbling Ghouls,The Gabbling Ghouls,5,True,0.497,0.403,9,-10.145,0,0.03,0.645,0.0014,0.0991,0.156,140.035,175714,3.0,2018-10-09
À tous les vents,À tous les vents,2Frères,1,True,0.553,0.754,7,-6.517,1,0.0308,0.128,0.0,0.268,0.776,121.946,181175,4.0,2020-01-17
"Three Romances, Op. 94",Romances for Flute & Piano,"Robert Schumann, Laurel Zucker",4,True,0.12,0.0283,9,-27.955,0,0.0431,0.99,0.977,0.069,0.084,69.19,239067,4.0,2011-11-01
Lambda,Foreigner,Von Spar,7,True,0.724,0.67,11,-9.302,0,0.0336,0.0909,0.725,0.119,0.59,124.011,289560,4.0,2010-05-24
Never Them,Road Case,U.S. Bombs,5,True,0.461,0.892,6,-5.317,1,0.0469,0.0001,0.0003,0.136,0.757,150.052,190000,4.0,2018-11-23
My Man's Gone Now,Seek and Find featuring Bob Mintzer,Kelly Eisenhour,9,True,0.547,0.0492,11,-12.763,0,0.0452,0.917,0.0019,0.129,0.116,108.206,286493,4.0,2007-01-01
Slip of a Girl,Jane Eyre: The Musical (Original Broadway Cast Recording),"Mary Stout, Marla Schaffel",18,True,0.584,0.323,10,-11.392,1,0.12,0.838,0.0,0.0781,0.66,116.042,210067,4.0,2000-11-06
"J.A.Hasse: Te Deum/G-Dur für Solostimmen, Chor und Orchester/Dignare Domine",Hasse: Misere Salve Regina Te Deum,"Johann Adolf Hasse, Ludwig Güttler",19,True,0.231,0.0551,0,-23.235,1,0.0443,0.948,0.0048,0.0585,0.0996,74.47,290947,3.0,2003-01-01
Cromplton's Entrance Thru the Gate,Stash!,Stash Wyslouch,4,True,0.607,0.66,7,-8.339,1,0.045,0.259,0.869,0.18,0.827,120.189,53040,4.0,2015-09-15
Don't Let My Teardrops Bother You,Just Being Myself,Dionne Warwick,5,True,0.542,0.548,9,-12.019,1,0.035,0.146,0.0655,0.212,0.769,130.848,243853,4.0,1973-01-01
"Fat, Forty & Back",Chusma (EP),Siniestro Total,3,True,0.376,0.929,4,-5.239,1,0.0611,0.0003,0.0,0.106,0.617,146.227,177933,4.0,1998-11-10
"Piano Sonata No. 16 in C Major, K. 545, ""Sonata facile"": II. Andante","Piano Recital: Rosenberger, Carol - Kabalevsky, D. / Tchaikovsky, P. (Perchance To Dream - A Lullaby Album for Children and Adults)","Wolfgang Amadeus Mozart, Carol Rosenberger",3,True,0.366,0.0201,7,-33.064,1,0.0436,0.993,0.911,0.0982,0.219,109.954,284493,4.0,1993-01-01
I Love Paris,The Bucharest Arrangement,Kalinka,14,True,0.63,0.597,0,-9.173,1,0.0367,0.895,0.0625,0.167,0.947,129.246,133280,4.0,2010-03-17
Kebra M’as,Kebra M’as,"Papa London, Wells",1,True,0.805,0.813,1,-3.867,0,0.2,0.0098,0.0001,0.052,0.85,130.027,196068,4.0,2018-05-15
North,Dirty Side Down,Widespread Panic,2,True,0.488,0.953,0,-1.957,1,0.0552,0.107,0.0008,0.199,0.541,106.967,343000,4.0,2010-05-25
The Shepherd's Carol,"Christmas Echoes, Vol. 1","William Billings, Dale Warland Singers",16,True,0.347,0.163,7,-21.786,1,0.0549,0.995,0.0,0.173,0.654,200.967,125360,3.0,2010-08-01
Cora Belle,So Sang the Whippoorwill,Run Boy Run,5,True,0.674,0.546,9,-7.521,1,0.0518,0.846,0.0011,0.125,0.556,107.994,165907,4.0,2013-03-19
"44 Duos for 2 Violins, BB 104, Vol. 4: No. 39. Szerb tanc (Serbian dance)",Bartók: Chamber Works for Violin,"Béla Bartók, James Ehnes",46,True,0.437,0.0699,5,-24.474,0,0.0518,0.975,0.0681,0.208,0.94,147.209,49693,4.0,2014-01-01
Eva (Demo),Eva (Demo),yeule,1,True,0.432,0.433,2,-12.735,1,0.0289,0.805,0.335,0.0893,0.135,100.031,214800,4.0,2018-08-01
Lux Aeterna,Life Beyond Reason,Clocks & Clouds,3,True,0.504,0.767,7,-6.643,0,0.0516,0.368,0.87,0.0993,0.0835,83.946,191667,4.0,2011-05-12
All Hands on Deck,All Hands on Deck,Apac X,6,True,0.505,0.656,7,-7.037,1,0.204,0.0475,0.0,0.313,0.228,116.464,273784,4.0,2016-10-28
All Comes Back,Back to Life,Eric C. Powell,2,True,0.622,0.816,7,-6.211,0,0.0567,0.0104,0.0,0.0868,0.705,129.968,179973,4.0,2016-11-04
Requiem,iD - Extended Version,Michael Patrick Kelly,6,True,0.37,0.475,9,-5.609,1,0.0284,0.326,0.0001,0.0913,0.226,180.052,228733,4.0,2017-11-24
Fish in the Unruffled Lakes: To Lie Flat on the Back,"Britten: Songs, Vol. 1","Benjamin Britten, Malcom Martineau",1,True,0.347,0.0364,4,-26.527,0,0.0512,0.966,0.0,0.0965,0.0686,107.832,147507,4.0,2011-06-06
Dawn Patrol,Samoa Soul,Patrick Yandall,11,True,0.724,0.684,4,-8.085,0,0.0377,0.557,0.807,0.0884,0.893,102.003,265560,4.0,2006-07-20
Weapons of Mass Distraction,In The Grip Of Official Treason,Jello Biafra,6,True,0.701,0.456,6,-14.112,1,0.946,0.404,0.0,0.798,0.576,126.084,920680,4.0,2006-10-24
Keep A-Driving,The Gypsy Woman Told Me,"John Primer, Bob Corritore",1,True,0.588,0.901,9,-4.377,1,0.0493,0.518,0.0123,0.581,0.926,120.438,248941,4.0,2020-05-01
I've Been Wrong Before,The End of Days,Abney Park,4,True,0.653,0.874,0,-5.74,0,0.0386,0.0004,0.211,0.0437,0.98,139.915,174733,4.0,2010-11-15
Scotland,25 Greatest Bluegrass Hits,Pinnacle Boys,7,True,0.547,0.615,9,-5.892,1,0.027,0.807,0.742,0.106,0.568,103.984,119800,4.0,2008-03-25
Blues For...,70 Strong,"Steve Gadd Band, Steve Gadd",11,True,0.54,0.125,5,-17.488,1,0.0342,0.529,0.694,0.138,0.199,143.371,450560,3.0,2015-04-07
"Stay Inside, Stay Alive",Pressure Cracks - EP,Pressure Cracks,3,True,0.483,0.981,6,-3.657,1,0.135,0.0004,0.0,0.201,0.271,156.195,159303,4.0,2018-05-25
From Now On,The Greatest Showman (Original Motion Picture Soundtrack),"Hugh Jackman, The Greatest Showman Ensemble",11,True,0.516,0.518,4,-10.383,1,0.04,0.0048,0.0089,0.585,0.0834,108.027,349560,4.0,2017-12-08
C U in Class!,Ages Ago,"Flovry, tender spring",6,True,0.65,0.235,7,-16.627,1,0.0342,0.884,0.71,0.146,0.0616,62.847,170287,4.0,2019-11-26
Sunstream,Bar Wisdom,Low Fat,17,True,0.691,0.74,9,-6.282,0,0.0417,0.205,0.0001,0.177,0.707,111.957,332733,4.0,2005-01-01
Old Skull,Lost Soul,Badass Wolf Shirt,5,True,0.503,0.943,5,-5.199,0,0.0442,0.0037,0.915,0.337,0.225,128.003,176250,4.0,2018-12-31
"Humanoid,Mannequinn,Androgyne",Earthling/Terrestre,Lunarsea,6,True,0.453,0.868,2,-8.481,0,0.0474,0.0,0.0431,0.225,0.217,107.542,304592,4.0,2019-12-15
"3 Capriccios, Op. 10: No. 1 in E Major: Moderato",Lipinski: 3 Capriccios - 3 Caprices,"Karol Lipinski, Xi Chen",1,True,0.431,0.102,4,-17.09,1,0.0692,0.988,0.287,0.381,0.507,78.843,490747,4.0,2011-04-05
F Boys,The World is a Mess,Future Punx,4,True,0.605,0.808,8,-7.339,1,0.0415,0.0118,0.236,0.0405,0.961,92.503,219373,4.0,2019-03-01
Yellow Warbler,Songbirds by the Stream,"""Dan Gibsons Solitudes""",7,True,0.157,0.907,10,-36.342,1,0.133,0.372,0.956,0.893,0.0,133.702,161609,4.0,2013-10-25
Shine no shoes,never say die,Creature,2,True,0.723,0.762,11,-11.343,0,0.266,0.0412,0.0,0.187,0.469,101.605,192800,4.0,2005-07-20
I'm Gonna Hate Myself In the Morning,Clean Up Woman,Betty Wright,17,True,0.833,0.431,5,-10.283,1,0.0394,0.732,0.0,0.204,0.971,105.694,134027,4.0,2017-03-17
Histoire du soldat Suite (The Soldier's Tale Suite): VI. 3 Danses (3 Dances): I. Tango,Stravinsky: Grand Suite From Histoire Du Soldat / Dumbarton Oaks Concerto,"Igor Stravinsky, Deutsche Kammerphilharmonie Bremen",6,True,0.338,0.032,5,-35.816,0,0.0745,0.788,0.0208,0.309,0.168,81.931,136573,4.0,2003-01-01
Way It Goes,The Ravages,Andrew Iafrate,3,True,0.589,0.367,7,-12.241,1,0.0246,0.229,0.0033,0.0999,0.441,94.93,159787,4.0,2007-01-01
Trouble in Mind,Walking in the Sun,Barb Jungr,2,True,0.644,0.37,4,-9.572,0,0.26,0.483,0.0,0.125,0.312,108.434,272133,4.0,2006-10-01
Rum & Cola Cola - Instrumental,Calypso @ Dirty Jim's,Calypso Rose,15,True,0.698,0.257,0,-16.547,1,0.0657,0.802,0.625,0.142,0.86,148.823,230400,4.0,2004-01-01
Shotgun Wedding March,"""I Do"": The Wedding Album","Felix Mendelssohn, Polkastra",7,True,0.356,0.388,0,-11.264,1,0.0355,0.985,0.66,0.029,0.599,79.726,260747,4.0,2013-02-12
Away Out On the Mountain,Essential Jimmie Rodgers,Jimmie Rodgers,1,True,0.706,0.481,2,-9.82,1,0.0304,0.959,0.0,0.299,0.652,142.335,198600,4.0,1997-04-01
The Streets will Run Red,...And the Streets will Run Red with the Blood of the Non-Believers,Treephort,10,True,0.534,0.0666,0,-23.984,1,0.0775,0.833,0.0,0.461,0.794,135.572,27027,5.0,2003-01-01
Skit,The Talented Timothy Taylor,Wise Intelligent,10,True,0.746,0.196,2,-17.981,1,0.948,0.409,0.0,0.556,0.911,90.217,26867,5.0,2007-01-01
Beauty Sleep,the anarchy smiles,N-e-s,6,True,0.749,0.698,7,-6.376,1,0.329,0.0388,0.0,0.263,0.797,160.003,220360,4.0,2004-01-01
The Bell Ringer,The Bell Ringer,Medea Connection,3,True,0.274,0.769,5,-8.59,1,0.0354,0.0006,0.571,0.0854,0.25,91.593,524107,4.0,2001-01-01
"Concerto for Brass Quintet and Orchestra (after Handel's Concerto Grosso in F Major, Op. 6, No. 9, HWV 327): I. Allegro",Echoes: Classic Works Transformed,"Gerard Schwarz, Seattle Symphony Orchestra",7,True,0.539,0.0508,5,-23.519,1,0.0396,0.98,0.933,0.0938,0.369,103.789,260347,4.0,2011-06-07
The Garry Moore Show - Happy Days Are Here Again,Just For The Record...,Barbra Streisand,5,True,0.344,0.292,8,-12.543,1,0.128,0.972,0.0,0.732,0.471,85.327,229840,4.0,1991-09-24
Walk On,Lay It All Down,Katie Cole,10,True,0.436,0.814,8,-3.874,0,0.0366,0.109,0.0,0.184,0.447,169.906,206720,4.0,2014-03-03
